indice_tiempo,tipo_cambio_real_multilateral_actual
2008-07-10,146.38921984087315
2008-07-11,146.99587650790338
2008-07-12,146.95746765587862
2008-07-13,146.91906883978118
2008-07-14,147.5037336631488
2008-07-15,147.64923483415194
2008-07-16,147.57842229775926
2008-07-17,147.3435387983643
2008-07-18,147.36899924401175
2008-07-19,147.33049289798728
2008-07-20,147.29199661336438
2008-07-21,147.70930005687
2008-07-22,147.31253077750074
2008-07-23,146.87793488792062
2008-07-24,146.86203080981457
2008-07-25,147.0837511957689
2008-07-26,147.04531938278802
2008-07-27,147.00689761173388
2008-07-28,147.08618995519296
2008-07-29,146.94816226880684
2008-07-30,147.20612246879963
2008-07-31,147.9271659884009
2008-08-01,148.02943503203537
2008-08-02,148.00316426274156
2008-08-03,147.9768981557186
2008-08-04,147.37997026952098
2008-08-05,147.02441565288916
2008-08-06,146.8310009259911
2008-08-07,146.26726182002517
2008-08-08,144.9334873074719
2008-08-09,144.90776597571664
2008-08-10,144.8820492087236
2008-08-11,143.37185596593997
2008-08-12,143.5304887709046
2008-08-13,143.391310499052
2008-08-14,142.6716621865702
2008-08-15,141.90416922076162
2008-08-16,141.87898550178966
2008-08-17,141.85380625216982
2008-08-18,141.8286314711089
2008-08-19,142.10349344349353
2008-08-20,142.19382236230294
2008-08-21,142.82479222474947
2008-08-22,142.1904671442311
2008-08-23,142.16523261599477
2008-08-24,142.1400025661277
2008-08-25,141.736404712072
2008-08-26,141.21395931233886
2008-08-27,141.95465266303196
2008-08-28,141.82503005509702
2008-08-29,141.6916816996535
2008-08-30,141.666535690821
2008-08-31,141.6413941446482
2008-09-01,141.48612288449957
2008-09-02,140.52355137203875
2008-09-03,139.9697354810116
2008-09-04,138.49769476555193
2008-09-05,138.02902147719186
2008-09-06,137.97848702760948
2008-09-07,137.92797107943042
2008-09-08,137.487062050329
2008-09-09,137.26297790886298
2008-09-10,136.8517180038057
2008-09-11,136.05309578651807
2008-09-12,137.34294488013512
2008-09-13,137.29266161325938
2008-09-14,137.2423967558253
2008-09-15,136.39271405073478
2008-09-16,136.222481516906
2008-09-17,135.55614402439602
2008-09-18,134.73373127059315
2008-09-19,137.68424230440482
2008-09-20,137.6338340835354
2008-09-21,137.58344431785508
2008-09-22,138.87632098508058
2008-09-23,137.01468189160067
2008-09-24,137.04124076789535
2008-09-25,137.97654089471877
2008-09-26,137.22048881288592
2008-09-27,137.17025037897272
2008-09-28,137.12003033808722
2008-09-29,133.976823920656
2008-09-30,134.4438569710768
2008-10-01,133.98026396533726
2008-10-02,131.51027290408942
2008-10-03,132.20949835985942
2008-10-04,132.18239525963762
2008-10-05,132.15529771558272
2008-10-06,128.6381744721462
2008-10-07,127.28170587261387
2008-10-08,127.13363774942124
2008-10-09,129.6638237010302
2008-10-10,125.78612478428741
2008-10-11,125.7603384830848
2008-10-12,125.73455746810387
2008-10-13,125.70878173826084
2008-10-14,130.16634304765628
2008-10-15,127.52954446379623
2008-10-16,127.4658291852954
2008-10-17,125.98746483134902
2008-10-18,125.96163725520373
2008-10-19,125.93581497374143
2008-10-20,129.2725840139525
2008-10-21,125.43500898594885
2008-10-22,122.44452105454258
2008-10-23,125.12173329395185
2008-10-24,124.94871146171091
2008-10-25,124.923096831209
2008-10-26,124.89748745173594
2008-10-27,126.64713318680187
2008-10-28,130.51094503543496
2008-10-29,133.41188225061762
2008-10-30,133.71331766231458
2008-10-31,132.89815379962386
2008-11-01,132.8561815082152
2008-11-02,132.81422247262086
2008-11-03,132.35236720483908
2008-11-04,130.83148012507934
2008-11-05,131.36374266447675
2008-11-06,131.32225497537047
2008-11-07,129.52964739590018
2008-11-08,129.48873895623328
2008-11-09,129.44784343639176
2008-11-10,128.9961790383023
2008-11-11,128.92639333859643
2008-11-12,125.94558824753165
2008-11-13,125.29807597851016
2008-11-14,126.76886270338781
2008-11-15,126.72882618297876
2008-11-16,126.68880230702301
2008-11-17,126.11171689473078
2008-11-18,126.03416905130744
2008-11-19,124.24237694099943
2008-11-20,123.8156567748872
2008-11-21,122.54664085942257
2008-11-22,122.50793781371245
2008-11-23,122.46924699131365
2008-11-24,126.05507761151982
2008-11-25,126.9955966028608
2008-11-26,126.98070526526163
2008-11-27,127.39374085358955
2008-11-28,127.24356569770859
2008-11-29,127.20337925518363
2008-11-30,127.16320550446086
2008-12-01,126.13307075575787
2008-12-02,126.46832138112444
2008-12-03,126.3190599049403
2008-12-04,126.70604934575312
2008-12-05,124.5975461150825
2008-12-06,124.57783963949404
2008-12-07,124.558136280702
2008-12-08,124.5384360382134
2008-12-09,126.40562361424058
2008-12-10,127.0030263205527
2008-12-11,130.3578205319518
2008-12-12,128.81971096821104
